longitude
91.744.194
91.744.194
91.744.194
91.744.194
91.744.194
91.744.194
91.744.194
9.279.525
9.279.525
9.279.525
9.279.525
9.279.525
9.279.525
91.589.544
91.589.544
91.589.544
91.589.544
91.589.544
9.187.488
9.187.488
9.187.488
9.187.488
9.187.488
9.187.488
9.187.488
9.178.063
9.178.063
9.178.063
9.178.063
9.178.063
9.178.063
9.268.449
9.268.449
9.268.449
9.268.449
9.268.449
9.268.449
9.268.449
91.439.057
91.439.057
91.439.057
91.439.057
91.439.057
91.439.057
91.439.057
94.636.574
94.636.574
94.636.574
94.636.574
94.636.574
94.636.574
9.170.046.436
9.170.046.436
9.170.046.436
9.170.046.436
9.170.046.436
9.170.046.436
9.170.046.436
849.994
849.994
849.994
849.994
849.994
8.541.948
8.541.948
8.541.948
8.541.948
8.541.948
8.541.948
8.541.948
853.647
853.647
853.647
853.647
853.647
84.366.208
84.366.208
84.366.208
84.366.208
84.366.208
84.366.208
84.366.208
8.539.813
8.539.813
8.539.813
8.539.813
8.539.813
8.539.813
8.539.813
8.490.051
8.490.051
8.490.051
8.490.051
8.490.051
8.490.051
8.490.051
8.451.954
8.451.954
8.451.954
8.451.954
8.451.954
8.451.954
8.451.954
84.982.348
84.982.348
84.982.348
84.982.348
84.982.348
84.982.348
84.982.348
84.992.416
84.992.416
84.992.416
84.992.416
84.992.416
84.992.416
84.992.416
84.002.396
84.002.396
84.002.396
84.002.396
84.002.396
84.002.396
84.002.396
8.551.496
8.551.496
8.551.496
8.551.496
8.551.496
8.551.496
8.551.496
86.989.001
86.989.001
86.989.001
86.989.001
86.989.001
86.989.001
86.989.001
87.012.947
87.012.947
87.012.947
87.012.947
87.012.947
87.012.947
87.012.947
87.117.468
87.117.468
87.117.468
87.117.468
87.117.468
87.117.468
87.117.468
86.471.523
86.471.523
86.471.523
86.471.523
86.471.523
86.471.523
86.471.523
87.553.265
87.553.265
87.553.265
87.553.265
87.553.265
87.553.265
87.553.265
85.043.586
85.043.586
85.043.586
85.043.586
85.043.586
85.043.586
85.043.586
85.227.158
85.227.158
85.227.158
85.227.158
85.227.158
85.227.158
85.227.158
85.085.624
85.085.624
85.085.624
85.085.624
85.085.624
85.085.624
85.085.624
85.113.666
85.113.666
85.113.666
85.113.666
85.113.666
85.113.666
85.113.666
85.132.568
85.132.568
85.132.568
85.132.568
85.132.568
85.147.382
85.147.382
85.147.382
85.147.382
85.147.382
85.147.382
85.147.382
852.459
852.459
852.459
852.459
852.459
852.459
852.459
8.577.944
8.577.944
8.577.944
8.577.944
8.577.944
8.577.944
8.577.944
86.590.325
86.590.325
86.590.325
86.590.325
86.590.325
86.590.325
86.590.325
87.454.184
87.454.184
87.454.184
87.454.184
87.454.184
87.454.184
87.454.184
84.531.742
84.531.742
84.531.742
84.531.742
84.531.742
84.531.742
84.531.742
84.663.264
84.663.264
84.663.264
84.663.264
84.663.264
84.663.264
84.663.264
847.446.768
847.446.768
847.446.768
847.446.768
847.446.768
847.446.768
847.446.768
8.793.840.336
8.793.840.336
8.793.840.336
8.793.840.336
8.793.840.336
8.793.840.336
8.793.840.336
853.650.192
853.650.192
853.650.192
853.650.192
853.650.192
853.650.192
853.650.192
843.570.427
843.570.427
843.570.427
843.570.427
843.570.427
843.570.427
843.570.427
77.051.074
77.051.074
77.051.074
77.051.074
77.051.074
77.051.074
77.051.074
77.250.515
77.250.515
77.250.515
77.250.515
77.250.515
77.250.515
77.250.515
77.184
77.184
77.184
77.233.829
77.233.829
77.233.829
77.233.829
77.233.829
77.233.829
77.233.829
770.325.413
770.325.413
770.325.413
770.325.413
770.325.413
770.325.413
770.325.413
77.173.332
77.173.332
77.173.332
77.173.332
77.173.332
77.170.633
77.170.633
77.170.633
77.170.633
77.170.633
77.170.633
77.170.633
7.726.484
7.726.484
7.726.484
7.726.484
7.726.484
7.726.484
7.726.484
77.271.255
77.271.255
77.271.255
77.271.255
77.271.255
77.271.255
77.271.255
77.190.156
77.190.156
77.190.156
77.190.156
77.190.156
77.190.156
77.190.156
77.186.937
77.186.937
77.186.937
77.186.937
77.186.937
77.186.937
77.186.937
76.933.762
76.933.762
76.933.762
76.933.762
76.933.762
76.933.762
76.933.762
77.237.738
77.237.738
77.237.738
