pollutant_avg
182
69
127
2
3
55
17
1
32
37
26
6
25
0
129
216
0
6
3
208
66
17
47
6
262
0
0
0
0
0
0
87
3
12
28
114
7
17
49
99
208
160
10
11
19
2
38
56
22
6
26
202
13
8
7
5
14
126
58
17
30
337
28
273
1
11
16
46
263
24
189
39
6
26
52
28
118
2
0
12
30
104
0
33
49
0
0
0
0
105
17
37
152
110
3
54
15
3
10
0
76
84
82
40
40
9
104
178
21
4
30
109
9
48
16
274
3
119
8
20
184
14
49
4
2
75
160
7
9
34
20
60
25
300
27
156
56
6
12
14
9
42
327
169
8
18
220
47
63
155
5
2
0
0
0
38
0
0
22
22
33
4
33
179
324
19
41
66
7
4
251
328
40
227
204
20
5
6
91
34
179
23
5
363
365
24
3
98
0
0
0
0
0
17
9
13
212
27
12
54
10
298
6
68
42
233
225
68
52
60
16
7
20
4
104
13
25
7
112
4
6
18
9
290
167
7
17
27
7
17
245
285
44
7
35
0
3
60
16
0
42
170
59
18
34
327
8
13
3
310
202
17
50
45
1
95
31
218
10
41
9
14
87
308
199
7
7
9
47
0
43
29
36
118
5
0
377
2
292
77
21
14
12
15
429
11
354
56
0
77
383
76
5
18
74
255
28
7
382
40
14
8
50
295
18
376
48
99
225
53
22
334
16
430
46
90
111
406
26
376
45
21
262
35
4
78
113
41
298
29
64
379
10
369
0
236
37
11
43
15
71
292
61
10
71
388
36
13
4
29
3
49
0
166
301
26
13
88
20
395
3
401
12
71
33
82
399
2
418
78
62
326
23
8
27
367
260
61
4
9
20
51
370
67
72
6
5
5
397
381
86
8
410
20
85
14
67
390
6
14
360
42
5
16
9
315
24
413
92
78
439
355
66
12
23
72
17
18
155
346
380
7
53
5
378
87
174
18
408
9
43
314
26
397
2
0
13
95
394
23
18
80
322
39
3
56
11
217
37
9
365
65
238
30
17
2
353
25
86
244
48
323
66
33
284
159
7
29
390
65
17
28
97
51
338
226
91
250
26
14
359
16
397
40
22
315
3
84
220
102
22
335
14
403
19
15
211
386
63
84
0
0
31
0
106
0
0
0
48
0
0
74
17
371
338
24
86
96
241
348
21
68
28
31
34
26
160
31
19
85
19
236
19
7
72
