periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2023-05-01;Região de Saúde Algarve;151846;114497;29474;7875;0;253;2823;29088;2303;0;31911;0
2023-05-01;Região de Saúde Centro;456129;325131;103501;27300;197;825;12962;109910;15408;0;122872;1
2023-05-01;Região de Saúde LVT;899905;574409;255418;67619;2459;1423;23062;206560;26990;1;229622;1
2023-05-01;Região de Saúde Norte;920140;709812;161235;49093;0;1450;26613;218767;33823;1;245380;1
2023-06-01;Região de Saúde Alentejo;183325;157613;22493;3219;0;212;2704;22153;2477;0;24857;0
2023-06-01;Região de Saúde Algarve;183312;138876;34908;9528;0;223;2898;25462;2098;0;28360;0
2023-06-01;Região de Saúde Centro;547234;391930;121889;33199;216;788;12903;104077;13660;0;116980;0
2023-06-01;Região de Saúde LVT;1076526;692308;299935;81214;3069;1235;21445;187798;24519;1;209243;1
2023-06-01;Região de Saúde Norte;1108682;858178;190900;59604;0;1410;25645;209213;31111;1;234858;1
2023-07-01;Região de Saúde Alentejo;214541;184841;25902;3798;0;190;2527;21675;2398;0;24202;0
2023-07-01;Região de Saúde Algarve;218165;166494;40638;11033;0;223;2763;25824;2322;0;28587;0
2023-07-01;Região de Saúde Centro;642633;462925;139775;39699;234;771;12325;100812;12952;0;113137;0
2023-07-01;Região de Saúde LVT;1250552;812636;339195;95108;3613;1280;20722;186903;24554;1;207625;1
2023-07-01;Região de Saúde Norte;1301090;1011600;218723;70767;0;1383;24268;196586;29858;1;220854;1
2023-08-01;Região de Saúde Alentejo;246633;213386;28893;4354;0;233;2597;22168;2434;0;24765;0
2023-08-01;Região de Saúde Algarve;255765;196405;46622;12738;0;279;2881;27357;2327;0;30238;0
2023-08-01;Região de Saúde Centro;742595;539262;156694;46369;270;848;12274;103053;11666;0;115327;0
2023-08-01;Região de Saúde LVT;1424020;937535;372986;109288;4211;1359;20459;187719;24259;1;208178;1
2023-08-01;Região de Saúde Norte;1499246;1173508;243625;82113;0;1524;24123;202168;27986;1;226291;1
2023-09-01;Região de Saúde Alentejo;275069;238437;31665;4967;0;195;2537;20685;2675;0;23222;0
2023-09-01;Região de Saúde Algarve;285420;219928;51301;14191;0;240;2784;25582;2203;0;28366;0
2023-09-01;Região de Saúde Centro;830089;604843;172263;52667;316;772;12397;99533;13564;0;111930;0
2023-09-01;Região de Saúde LVT;1591269;1052748;410837;122899;4785;1293;20742;179171;25553;1;199913;1
2023-09-01;Região de Saúde Norte;1677518;1315944;269086;92488;0;1417;24893;201583;31595;1;226476;1
2023-10-01;Região de Saúde Alentejo;305974;265034;35340;5600;0;183;2697;22968;2676;0;25665;0
2023-10-01;Região de Saúde Algarve;315587;242500;57464;15623;0;228;2715;27134;2347;0;29849;0
2023-10-01;Região de Saúde Centro;920897;668926;193161;58494;316;800;12725;106599;13966;0;119324;1
2023-10-01;Região de Saúde LVT;1767324;1164511;460568;136930;5315;1338;21158;187171;26573;1;208329;1
2023-10-01;Região de Saúde Norte;1865827;1458302;304268;103257;0;1517;25022;203881;31320;1;228903;1
2023-11-01;Região de Saúde Alentejo;334953;289607;39160;6186;0;245;2717;33989;2619;0;36706;0
2023-11-01;Região de Saúde Algarve;345442;264330;64058;17054;0;205;2763;25160;2436;0;27923;0
2023-11-01;Região de Saúde Centro;1008053;728351;215837;63501;364;810;12490;103324;14248;0;115814;0
2023-11-01;Região de Saúde LVT;1937680;1269713;513126;149003;5838;1314;21526;187958;27460;1;209484;1
2023-11-01;Região de Saúde Norte;2042991;1588919;341617;112455;0;1465;24762;205036;32016;1;229798;1
2023-12-01;Região de Saúde Alentejo;367321;316795;43791;6735;0;281;2656;22501;1973;0;25157;0
2023-12-01;Região de Saúde Algarve;377690;287985;71406;18299;0;246;2711;25107;1893;0;27818;0
2023-12-01;Região de Saúde Centro;1102202;792714;240704;68363;421;955;12167;103257;11357;1;115424;0
2023-12-01;Região de Saúde LVT;2116639;1381614;568293;160463;6269;1614;21443;199532;21605;1;220975;1
2023-12-01;Região de Saúde Norte;2229611;1729918;378012;121681;0;1848;25288;220934;25938;1;246222;1
2024-01-01;Região de Saúde Alentejo;30390;26360;3492;538;0;258;2769;22653;2850;0;25422;0
2024-01-01;Região de Saúde Algarve;28884;21938;5514;1432;0;297;2841;30391;2408;0;33232;0
2024-01-01;Região de Saúde Centro;88365;62740;20444;5139;42;966;12666;107760;14096;1;120426;1
2024-01-01;Região de Saúde LVT;156172;103450;40110;12050;562;1829;22097;195856;27894;1;217953;1
2024-01-01;Região de Saúde Norte;175376;137076;29462;8838;0;1970;26835;226080;31980;1;252915;1
2024-02-01;Região de Saúde Alentejo;42479;34682;6697;1100;0;186;2326;18878;2696;0;21204;0
2024-02-01;Região de Saúde Algarve;56617;42561;11261;2795;0;252;2790;25141;2232;0;27931;0
2024-02-01;Região de Saúde Centro;173963;122960;40914;10047;42;748;11819;98484;13544;0;110303;0
2024-02-01;Região de Saúde LVT;319718;209393;85503;23681;1141;1327;20583;173587;26685;1;194170;1
2024-02-01;Região de Saúde Norte;348225;268351;62377;17497;0;1459;24571;202117;29952;1;226688;1
2024-03-01;Região de Saúde Alentejo;89710;77413;10678;1619;0;187;2334;18593;2658;0;20927;0
2024-03-01;Região de Saúde Algarve;87987;65478;18015;4494;0;263;2872;27020;2135;0;29892;0
2024-03-01;Região de Saúde Centro;269731;190284;64102;15271;74;865;12386;101807;13292;1;114193;0
2024-03-01;Região de Saúde LVT;500164;326170;136419;35855;1720;1416;21668;184361;25560;1;206029;1
2024-03-01;Região de Saúde Norte;542907;416602;99491;26814;0;1639;26391;207406;30099;1;233797;1
2024-04-01;Região de Saúde Alentejo;122688;104878;15638;2172;0;180;2318;17945;2796;0;20263;0
2024-04-01;Região de Saúde Algarve;120676;90126;24784;5766;0;198;2675;24263;2560;0;26938;0
2024-04-01;Região de Saúde Centro;363254;256886;85632;20596;140;743;12063;100929;14193;0;112992;0
2024-04-01;Região de Saúde LVT;683128;446377;185684;48716;2351;1297;21112;187104;27082;1;208216;1
2024-04-01;Região de Saúde Norte;735220;565126;133789;36305;0;1472;25851;203200;31587;1;229051;1
2024-05-01;Região de Saúde Alentejo;158067;134757;20567;2743;0;148;2322;19110;2329;0;21432;0
2024-05-01;Região de Saúde Algarve;155185;116240;32095;6850;0;239;2717;23196;2746;0;25913;0
2024-05-01;Região de Saúde Centro;468647;331386;110905;26216;140;799;12121;99945;13635;0;112066;0
2024-05-01;Região de Saúde LVT;875019;571709;238648;61684;2978;1131;20726;181659;25795;1;202385;1
2024-05-01;Região de Saúde Norte;935726;718531;171144;46051;0;1467;26143;207101;31756;1;233244;1
2024-06-01;Região de Saúde Alentejo;190527;162508;24660;3359;0;122;2107;16717;2466;0;18824;0
2024-06-01;Região de Saúde Algarve;187747;141489;38062;8196;0;235;2450;22918;2330;0;25368;0
2024-06-01;Região de Saúde Centro;561945;399732;130603;31411;199;776;11208;90301;12419;0;101509;0
2024-06-01;Região de Saúde LVT;1046525;688426;281143;73349;3607;1153;18619;161782;22699;1;180401;1
2024-06-01;Região de Saúde Norte;1124897;867044;202223;55630;0;1425;23057;185257;27724;1;208314;1
2024-07-01;Região de Saúde Alentejo;223126;190976;28135;4015;0;140;2199;15742;2646;0;17941;0
2024-07-01;Região de Saúde Algarve;222568;169148;43983;9437;0;231;2670;25441;2678;0;28111;0
2024-07-01;Região de Saúde Centro;654363;469900;147094;37138;231;770;11768;94949;13436;0;106717;0
2024-07-01;Região de Saúde LVT;1217038;807990;319061;85852;4135;1133;19660;173017;24353;1;192677;1
2024-07-01;Região de Saúde Norte;1313597;1020222;228309;65066;0;1413;24481;201667;29187;1;226148;1
2024-08-01;Região de Saúde Alentejo;253913;218311;30937;4665;0;139;2020;14738;1970;0;16758;0
2024-08-01;Região de Saúde Algarve;260074;198771;50191;11112;0;187;2428;22847;2372;0;25275;0
2024-08-01;Região de Saúde Centro;745533;540070;162467;42718;278;675;10390;84549;10265;0;94939;0
2024-08-01;Região de Saúde LVT;1378975;924853;350913;98392;4817;978;17954;151317;21223;1;169271;1
2024-08-01;Região de Saúde Norte;1502005;1176017;251145;74843;0;1304;22176;181371;23578;1;203547;1
2024-09-01;Região de Saúde Alentejo;282893;243518;34117;5258;0;110;1771;13287;2024;0;15058;0
2024-09-01;Região de Saúde Algarve;290667;223081;55000;12586;0;168;2306;21880;2378;0;24186;0
2024-09-01;Região de Saúde Centro;829253;603260;177678;47954;361;393;8355;62773;10635;0;71128;0
2024-09-01;Região de Saúde LVT;1543065;1038431;388245;110999;5390;930;16503;134541;20674;1;151044;1
2024-09-01;Região de Saúde Norte;1672802;1313358;275471;83973;0;1212;21916;167946;26525;1;189862;1
2024-10-01;Região de Saúde Alentejo;314137;270506;37843;5788;0;126;1865;13975;2703;0;15840;0
2024-10-01;Região de Saúde Algarve;321828;246637;60885;14306;0;147;2144;19887;2642;0;22031;0
2024-10-01;Região de Saúde Centro;923491;671503;198251;53376;361;438;8793;66307;12539;0;75100;0
2024-10-01;Região de Saúde LVT;1733201;1163068;439726;124364;6043;861;17385;139463;23212;1;156848;1
2024-10-01;Região de Saúde Norte;1861998;1462145;306154;93699;0;1221;24093;185612;29689;1;209705;1
2024-11-01;Região de Saúde Alentejo;346157;297971;41800;6386;0;121;1857;14221;2466;0;16078;0
2024-11-01;Região de Saúde Algarve;350571;268869;66223;15479;0;94;1664;14002;2297;0;15666;0
2024-11-01;Região de Saúde Centro;1012513;735816;217988;58279;430;430;7987;60905;11240;0;68892;0
2024-11-01;Região de Saúde LVT;1905203;1270557;491655;136404;6587;877;15711;126634;21093;1;142345;1
2024-11-01;Região de Saúde Norte;2044822;1603240;339053;102529;0;1193;21759;160052;27986;1;181811;1
2024-12-01;Região de Saúde Alentejo;377393;324500;45931;6962;0;138;1756;13148;1835;0;14904;0
2024-12-01;Região de Saúde Algarve;380759;292003;72177;16579;0;54;1046;12355;1903;0;13401;0
2024-12-01;Região de Saúde Centro;1102908;799446;239509;63502;451;438;7716;60506;9399;0;68222;0
2024-12-01;Região de Saúde LVT;2083759;1381494;547339;147850;7076;902;15499;129398;18133;1;144897;1
2024-12-01;Região de Saúde Norte;2230814;1744259;375502;111053;0;1297;22515;170684;24651;1;193199;1
2025-01-01;Região de Saúde Alentejo;32328;27274;4465;589;0;107;1609;11086;2200;0;12695;0
2025-01-01;Região de Saúde Algarve;31679;23862;6775;1042;0;22;498;7820;1339;0;8318;0
2025-01-01;Região de Saúde Centro;90741;64973;20733;4996;39;325;4987;41530;9761;0;46517;0
2025-01-01;Região de Saúde LVT;166100;109750;44384;11482;484;863;14031;115406;19762;1;129437;1
2025-01-01;Região de Saúde Norte;173932;137636;27917;8379;0;1317;20847;161877;23153;1;182724;1
2025-02-01;Região de Saúde Alentejo;61019;51634;8302;1083;0;100;1464;9558;1932;0;11022;0
2025-02-01;Região de Saúde Algarve;60731;45800;12938;1993;0;4;145;4158;941;0;4303;0
2025-02-01;Região de Saúde Centro;173295;125063;38661;9447;124;208;3834;29479;8808;0;33313;0
2025-02-01;Região de Saúde LVT;321039;211414;86452;22154;1019;691;12444;93377;16611;0;105821;0
2025-02-01;Região de Saúde Norte;335705;264836;54819;16050;0;970;16137;119864;19843;1;136001;1
