periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2020-01-01;Região de Saúde Alentejo;33587;28381;4711;495;0;253;3004;23875;2304;0;26879;0
2020-01-01;Região de Saúde Algarve;32408;22920;7738;1750;0;329;2798;28495;1795;0;31293;0
2020-01-01;Região de Saúde Centro;99895;71449;22468;5978;0;1027;14028;116140;11573;1;130168;1
2020-01-01;Região de Saúde LVT;211352;135968;59171;15679;534;1799;26617;231312;23175;1;257929;1
2020-01-01;Região de Saúde Norte;195409;148343;35928;11138;0;1777;27324;210676;29494;1;238000;1
2020-02-01;Região de Saúde Alentejo;64371;54449;8987;935;0;217;2736;21441;2083;0;24177;0
2020-02-01;Região de Saúde Algarve;61891;43886;14614;3391;0;216;2534;25270;1468;0;27804;0
2020-02-01;Região de Saúde Centro;190023;136179;42445;11399;0;888;13059;107900;10501;1;120959;1
2020-02-01;Região de Saúde LVT;404877;259778;113869;30149;1081;1599;24117;204528;20876;1;228645;1
2020-02-01;Região de Saúde Norte;372638;283432;67905;21301;0;1538;25329;199488;26480;1;224817;1
2020-03-01;Região de Saúde Alentejo;84052;71907;10775;1370;0;200;2492;20904;1580;0;23396;0
2020-03-01;Região de Saúde Algarve;80505;58194;17696;4615;0;229;2403;27434;1314;0;29837;0
2020-03-01;Região de Saúde Centro;247955;180508;51562;15885;0;908;11847;107027;8467;1;118874;1
2020-03-01;Região de Saúde LVT;524438;344556;137626;40824;1432;1608;22426;219992;16046;1;242418;1
2020-03-01;Região de Saúde Norte;486790;376663;81389;28738;0;1526;22114;202868;20582;1;224982;1
2020-04-01;Região de Saúde Alentejo;97130;83965;11474;1691;0;189;1856;15595;992;0;17451;0
2020-04-01;Região de Saúde Algarve;92543;67833;18942;5768;0;230;1923;19869;1035;0;21792;0
2020-04-01;Região de Saúde Centro;289368;214300;55421;19647;0;839;8109;73942;5321;0;82051;0
2020-04-01;Região de Saúde LVT;610013;411167;147471;49613;1762;1433;16195;161100;10926;1;177295;1
2020-04-01;Região de Saúde Norte;578312;455369;87959;34984;0;1701;16228;149833;13810;1;166061;1
2020-05-01;Região de Saúde Alentejo;114600;99944;12602;2054;0;195;2001;15539;1269;0;17540;0
2020-05-01;Região de Saúde Algarve;109112;81170;20763;7179;0;208;2102;18723;1142;0;20825;0
2020-05-01;Região de Saúde Centro;344469;259179;61311;23979;0;817;9478;81012;6922;0;90490;0
2020-05-01;Região de Saúde LVT;721466;497601;161569;60111;2185;1469;18837;160553;13439;1;179390;1
2020-05-01;Região de Saúde Norte;691596;551584;97272;42740;0;1447;18786;161223;17411;1;180009;1
2020-06-01;Região de Saúde Alentejo;133396;117173;13800;2423;0;195;2239;18603;1891;0;20842;0
2020-06-01;Região de Saúde Algarve;127353;95856;22865;8632;0;197;2202;21950;1392;0;24152;0
2020-06-01;Região de Saúde Centro;404571;307783;68034;28754;0;715;10406;87717;9207;0;98123;0
2020-06-01;Região de Saúde LVT;837951;586972;177064;71266;2649;1389;19421;172372;16897;1;191793;1
2020-06-01;Região de Saúde Norte;814032;655286;107278;51468;0;1231;20216;160552;22272;1;180768;1
2020-07-01;Região de Saúde Alentejo;155210;137037;15347;2826;0;252;2590;20836;2268;0;23426;0
2020-07-01;Região de Saúde Algarve;150482;114132;26075;10275;0;241;2426;22877;1590;0;25303;0
2020-07-01;Região de Saúde Centro;472946;361933;77147;33866;0;858;11780;96916;10423;1;108696;0
2020-07-01;Região de Saúde LVT;964719;682574;196263;83085;2797;1561;21446;186028;19025;1;207474;1
2020-07-01;Região de Saúde Norte;956455;773876;121261;61318;0;1502;23985;178071;27022;1;202056;1
2020-08-01;Região de Saúde Alentejo;178576;158201;17102;3273;0;226;2288;18105;1932;0;20393;0
2020-08-01;Região de Saúde Algarve;176422;134690;29807;11925;0;249;2339;20887;1481;0;23226;0
2020-08-01;Região de Saúde Centro;545229;419545;86570;39114;0;712;10711;93229;8379;0;103940;0
2020-08-01;Região de Saúde LVT;1094547;779613;215506;95776;3652;1406;20463;175435;17180;1;195898;1
2020-08-01;Região de Saúde Norte;1100319;894371;134763;71185;0;1287;21780;164980;22373;1;186760;1
2020-09-01;Região de Saúde Alentejo;199422;176931;18914;3577;0;217;2430;19366;2123;0;21796;0
2020-09-01;Região de Saúde Algarve;198744;152009;33184;13551;0;224;2375;21694;1518;0;24069;0
2020-09-01;Região de Saúde Centro;615909;474603;97038;44268;0;754;11461;95701;10836;0;107162;0
2020-09-01;Região de Saúde LVT;1230702;876308;241845;108352;4197;1496;21198;177620;19161;1;198818;1
2020-09-01;Região de Saúde Norte;1238960;1006745;151587;80628;0;1328;23569;173556;27611;1;197125;1
2020-10-01;Região de Saúde Alentejo;220169;195277;20994;3898;0;239;2388;22912;2319;0;25300;0
2020-10-01;Região de Saúde Algarve;218805;167168;36615;15022;0;253;2477;23278;1709;0;25755;0
2020-10-01;Região de Saúde Centro;683991;526049;108741;49201;0;762;12153;101791;11222;0;113944;0
2020-10-01;Região de Saúde LVT;1365510;969797;270802;120257;4654;1560;22439;207143;20095;1;229582;1
2020-10-01;Região de Saúde Norte;1383895;1124453;170034;89408;0;1547;24782;199698;28260;1;224480;1
2020-11-01;Região de Saúde Alentejo;238437;211511;22706;4220;0;259;2429;19165;2122;0;21594;0
2020-11-01;Região de Saúde Algarve;236356;180428;39566;16362;0;211;2418;24442;1789;0;26860;0
2020-11-01;Região de Saúde Centro;744065;571370;118908;53787;0;998;11683;98168;10426;1;109851;0
2020-11-01;Região de Saúde LVT;1482562;1051574;294971;130949;5068;1754;21625;192493;20211;1;214118;1
2020-11-01;Região de Saúde Norte;1510391;1228258;185194;96939;0;2045;23616;189426;26411;1;213042;1
2020-12-01;Região de Saúde Alentejo;257547;228703;24314;4530;0;253;2417;19736;2222;0;22153;0
2020-12-01;Região de Saúde Algarve;254602;194831;41967;17804;0;233;2355;21342;1575;0;23697;0
2020-12-01;Região de Saúde Centro;805338;619785;127167;58386;0;1167;11330;105164;9208;1;116494;0
2020-12-01;Região de Saúde LVT;1602948;1140172;315700;141592;5484;2079;21226;198069;17471;1;219295;1
2020-12-01;Região de Saúde Norte;1632269;1330394;196989;104886;0;2157;23024;198784;24393;1;221808;1
